match_id,period_1,period_2,period_3,period_4,period_5,current_period_start_timestamp,total_duration_raw,duration_seconds,formatted_seconds,duration_minutes,formatted_minutes,duration_hours,formatted_hours
12151370,1700.0,5234.0,1755.0,0.0,0.0,1710259457.0,8689.0,8689.0,0 days 02:24:49,8689.0,6 days 00:49:00,8689.0,362 days 01:00:00
12151426,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0 days 00:00:00,0.0,0 days 00:00:00,0.0,0 days 00:00:00
12151477,4722.0,3641.0,0.0,0.0,0.0,1710270247.0,8363.0,8363.0,0 days 02:19:23,8363.0,5 days 19:23:00,8363.0,348 days 11:00:00
12151483,2537.0,2709.0,0.0,0.0,0.0,1710265667.0,5246.0,5246.0,0 days 01:27:26,5246.0,3 days 15:26:00,5246.0,218 days 14:00:00
12151510,2627.0,2470.0,0.0,0.0,0.0,1710267093.0,5097.0,5097.0,0 days 01:24:57,5097.0,3 days 12:57:00,5097.0,212 days 09:00:00
12151526,1854.0,3877.0,0.0,0.0,0.0,1710258680.0,5731.0,5731.0,0 days 01:35:31,5731.0,3 days 23:31:00,5731.0,238 days 19:00:00
12151570,2640.0,78770.0,77023.0,0.0,0.0,1710369791.0,158433.0,158433.0,1 days 20:00:33,158433.0,110 days 00:33:00,158433.0,6601 days 09:00:00
12151571,6887.0,1152.0,0.0,0.0,0.0,1710358148.0,8039.0,8039.0,0 days 02:13:59,8039.0,5 days 13:59:00,8039.0,334 days 23:00:00
12151572,4026.0,77764.0,0.0,0.0,0.0,1710366009.0,81790.0,81790.0,0 days 22:43:10,81790.0,56 days 19:10:00,81790.0,3407 days 22:00:00
12151573,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0 days 00:00:00,0.0,0 days 00:00:00,0.0,0 days 00:00:00
12151574,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0 days 00:00:00,0.0,0 days 00:00:00,0.0,0 days 00:00:00
12151575,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0 days 00:00:00,0.0,0 days 00:00:00,0.0,0 days 00:00:00
12151576,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0 days 00:00:00,0.0,0 days 00:00:00,0.0,0 days 00:00:00
12151577,1990.0,2712.0,0.0,0.0,0.0,1710356392.0,4702.0,4702.0,0 days 01:18:22,4702.0,3 days 06:22:00,4702.0,195 days 22:00:00
12151578,2659.0,4573.0,2824.0,0.0,0.0,1710359361.0,10056.0,10056.0,0 days 02:47:36,10056.0,6 days 23:36:00,10056.0,419 days 00:00:00
