match_id,period_1,period_2,period_3,period_4,period_5,current_period_start_timestamp,total_duration,formatted_duration
12070914,4040,2678,0,0,0,1708053698.0,6718,0 days 01:51:58
12070983,2067,2570,0,0,0,1708051476.0,4637,0 days 01:17:17
12070984,2713,2665,0,0,0,1708052065.0,5378,0 days 01:29:38
12071503,2923,2071,0,0,0,1708052286.0,4994,0 days 01:23:14
12071549,2977,3176,0,0,0,1708060456.0,6153,0 days 01:42:33
12071568,2703,2642,2090,0,0,1708054848.0,7435,0 days 02:03:55
12071825,3558,2081,0,0,0,1708007170.0,5639,0 days 01:33:59
12071826,1842,3874,0,0,0,1708011793.0,5716,0 days 01:35:16
12071827,2611,2521,2969,0,0,1708007835.0,8101,0 days 02:15:01
12071828,2144,2162,0,0,0,1708009124.0,4306,0 days 01:11:46
12071829,3104,3587,0,0,0,1708011252.0,6691,0 days 01:51:31
12071830,2328,2400,0,0,0,1708008069.0,4728,0 days 01:18:48
12071831,2396,1596,0,0,0,1708005874.0,3992,0 days 01:06:32
12071906,4128,2522,1779,0,0,1708006836.0,8429,0 days 02:20:29
12071921,4597,3663,2753,0,0,1708081929.0,11013,0 days 03:03:33
12071922,3077,3164,0,0,0,1708075956.0,6241,0 days 01:44:01
12071930,1703,1690,0,0,0,1708074550.0,3393,0 days 00:56:33
12071931,2507,1798,0,0,0,1708080619.0,4305,0 days 01:11:45
12071936,3902,3145,2978,0,0,1708080274.0,10025,0 days 02:47:05
12071941,2324,3148,1976,0,0,1708019220.0,7448,0 days 02:04:08
12071942,2176,2317,0,0,0,1708015008.0,4493,0 days 01:14:53
12071943,2085,3621,3035,0,0,1708010716.0,8741,0 days 02:25:41
12071944,2628,2579,0,0,0,1708015062.0,5207,0 days 01:26:47
12071945,3542,4295,3375,0,0,1708016668.0,11212,0 days 03:06:52
12071946,2826,2348,0,0,0,1708013180.0,5174,0 days 01:26:14
12071947,2695,3359,2467,0,0,1708079040.0,8521,0 days 02:22:01
12071956,3906,2312,3941,0,0,1708079078.0,10159,0 days 02:49:19
12071969,2793,7983,0,0,0,1708010730.0,10776,0 days 02:59:36
12071970,2483,2803,0,0,0,1708014104.0,5286,0 days 01:28:06
12072002,2057,2252,0,0,0,1708074871.0,4309,0 days 01:11:49
12072003,0,0,0,0,0,1708072745.0,0,0 days 00:00:00
12072004,3916,1644,0,0,0,1708076935.0,5560,0 days 01:32:40
