match_id,point_description,is_aces,total_aces,total_points,ace_ratio
12014547,1,1,7,157,0.044585987261146494
12014547,1,1,7,157,0.044585987261146494
12014547,1,1,7,157,0.044585987261146494
12016976,1,1,6,159,0.03773584905660377
12016976,1,1,6,159,0.03773584905660377
12016976,1,1,6,159,0.03773584905660377
12016976,1,1,6,159,0.03773584905660377
12016976,1,1,6,159,0.03773584905660377
12016976,1,1,6,159,0.03773584905660377
12017442,1,1,3,143,0.02097902097902098
12017442,1,1,3,143,0.02097902097902098
12017442,1,1,3,143,0.02097902097902098
12017453,1,1,2,113,0.017699115044247787
12017453,1,1,2,113,0.017699115044247787
12017455,1,1,14,145,0.09655172413793103
12017455,1,1,14,145,0.09655172413793103
12017455,1,1,14,145,0.09655172413793103
12017455,1,1,14,145,0.09655172413793103
12017455,1,1,14,145,0.09655172413793103
12017455,1,1,14,145,0.09655172413793103
12017455,1,1,14,145,0.09655172413793103
12017455,1,1,14,145,0.09655172413793103
12017455,1,1,14,145,0.09655172413793103
12017455,1,1,14,145,0.09655172413793103
12017455,1,1,14,145,0.09655172413793103
12017455,1,1,14,145,0.09655172413793103
12017455,1,1,14,145,0.09655172413793103
12017455,1,1,14,145,0.09655172413793103
12017458,1,1,13,108,0.12037037037037036
12017458,1,1,13,108,0.12037037037037036
12017458,1,1,13,108,0.12037037037037036
12017458,1,1,13,108,0.12037037037037036
12017458,1,1,13,108,0.12037037037037036
12017458,1,1,13,108,0.12037037037037036
12017458,1,1,13,108,0.12037037037037036
12017458,1,1,13,108,0.12037037037037036
12017458,1,1,13,108,0.12037037037037036
12017458,1,1,13,108,0.12037037037037036
12017458,1,1,13,108,0.12037037037037036
12017458,1,1,13,108,0.12037037037037036
12017458,1,1,13,108,0.12037037037037036
12017459,1,1,12,120,0.1
12017459,1,1,12,120,0.1
12017459,1,1,12,120,0.1
12017459,1,1,12,120,0.1
12017459,1,1,12,120,0.1
12017459,1,1,12,120,0.1
12017459,1,1,12,120,0.1
12017459,1,1,12,120,0.1
12017459,1,1,12,120,0.1
12017459,1,1,12,120,0.1
12017459,1,1,12,120,0.1
12017459,1,1,12,120,0.1
12017463,1,1,9,133,0.06766917293233082
12017463,1,1,9,133,0.06766917293233082
12017463,1,1,9,133,0.06766917293233082
12017463,1,1,9,133,0.06766917293233082
12017463,1,1,9,133,0.06766917293233082
12017463,1,1,9,133,0.06766917293233082
12017463,1,1,9,133,0.06766917293233082
12017463,1,1,9,133,0.06766917293233082
12017463,1,1,9,133,0.06766917293233082
12017465,1,1,4,205,0.01951219512195122
12017465,1,1,4,205,0.01951219512195122
12017465,1,1,4,205,0.01951219512195122
12017465,1,1,4,205,0.01951219512195122
12017468,1,1,1,113,0.008849557522123894
12017473,1,1,2,81,0.024691358024691357
12017473,1,1,2,81,0.024691358024691357
12017477,1,1,1,72,0.013888888888888888
12017480,1,1,1,84,0.011904761904761904
12017483,1,1,3,152,0.019736842105263157
12017483,1,1,3,152,0.019736842105263157
12017483,1,1,3,152,0.019736842105263157
12017488,1,1,7,95,0.07368421052631578
12017488,1,1,7,95,0.07368421052631578
12017488,1,1,7,95,0.07368421052631578
12017488,1,1,7,95,0.07368421052631578
12017488,1,1,7,95,0.07368421052631578
12017488,1,1,7,95,0.07368421052631578
12017488,1,1,7,95,0.07368421052631578
12017495,1,1,12,134,0.08955223880597014
12017495,1,1,12,134,0.08955223880597014
12017495,1,1,12,134,0.08955223880597014
12017495,1,1,12,134,0.08955223880597014
12017495,1,1,12,134,0.08955223880597014
12017495,1,1,12,134,0.08955223880597014
12017495,1,1,12,134,0.08955223880597014
12017495,1,1,12,134,0.08955223880597014
12017495,1,1,12,134,0.08955223880597014
12017495,1,1,12,134,0.08955223880597014
12017495,1,1,12,134,0.08955223880597014
12017495,1,1,12,134,0.08955223880597014
12017501,1,1,7,119,0.058823529411764705
12017501,1,1,7,119,0.058823529411764705
12017501,1,1,7,119,0.058823529411764705
12017501,1,1,7,119,0.058823529411764705
12017501,1,1,7,119,0.058823529411764705
12017501,1,1,7,119,0.058823529411764705
12017501,1,1,7,119,0.058823529411764705
12017505,1,1,3,197,0.015228426395939087
12017505,1,1,3,197,0.015228426395939087
12017505,1,1,3,197,0.015228426395939087
12017506,1,1,1,21,0.047619047619047616
12017510,1,1,8,148,0.05405405405405406
12017510,1,1,8,148,0.05405405405405406
12017510,1,1,8,148,0.05405405405405406
12017510,1,1,8,148,0.05405405405405406
12017510,1,1,8,148,0.05405405405405406
12017510,1,1,8,148,0.05405405405405406
12017510,1,1,8,148,0.05405405405405406
12017510,1,1,8,148,0.05405405405405406
12017511,1,1,2,174,0.011494252873563218
12017511,1,1,2,174,0.011494252873563218
12017513,1,1,1,86,0.011627906976744186
12017514,1,1,2,117,0.017094017094017096
12017514,1,1,2,117,0.017094017094017096
12017517,1,1,4,87,0.04597701149425287
12017517,1,1,4,87,0.04597701149425287
12017517,1,1,4,87,0.04597701149425287
12017517,1,1,4,87,0.04597701149425287
12017520,1,1,9,202,0.04455445544554455
12017520,1,1,9,202,0.04455445544554455
12017520,1,1,9,202,0.04455445544554455
12017520,1,1,9,202,0.04455445544554455
12017520,1,1,9,202,0.04455445544554455
12017520,1,1,9,202,0.04455445544554455
12017520,1,1,9,202,0.04455445544554455
12017520,1,1,9,202,0.04455445544554455
12017520,1,1,9,202,0.04455445544554455
12017523,1,1,4,85,0.047058823529411764
12017523,1,1,4,85,0.047058823529411764
12017523,1,1,4,85,0.047058823529411764
12017523,1,1,4,85,0.047058823529411764
12017526,1,1,5,81,0.06172839506172839
12017526,1,1,5,81,0.06172839506172839
12017526,1,1,5,81,0.06172839506172839
12017526,1,1,5,81,0.06172839506172839
12017526,1,1,5,81,0.06172839506172839
12017528,1,1,2,96,0.020833333333333332
12017528,1,1,2,96,0.020833333333333332
12017533,1,1,11,115,0.09565217391304348
12017533,1,1,11,115,0.09565217391304348
12017533,1,1,11,115,0.09565217391304348
12017533,1,1,11,115,0.09565217391304348
12017533,1,1,11,115,0.09565217391304348
12017533,1,1,11,115,0.09565217391304348
12017533,1,1,11,115,0.09565217391304348
12017533,1,1,11,115,0.09565217391304348
12017533,1,1,11,115,0.09565217391304348
12017533,1,1,11,115,0.09565217391304348
12017533,1,1,11,115,0.09565217391304348
12017539,1,1,3,172,0.01744186046511628
12017539,1,1,3,172,0.01744186046511628
12017539,1,1,3,172,0.01744186046511628
12017648,1,1,1,63,0.015873015873015872
12017656,1,1,4,103,0.038834951456310676
12017656,1,1,4,103,0.038834951456310676
12017656,1,1,4,103,0.038834951456310676
12017656,1,1,4,103,0.038834951456310676
12018083,1,1,2,85,0.023529411764705882
12018083,1,1,2,85,0.023529411764705882
12018842,1,1,9,185,0.04864864864864865
12018842,1,1,9,185,0.04864864864864865
12018842,1,1,9,185,0.04864864864864865
12018842,1,1,9,185,0.04864864864864865
12018842,1,1,9,185,0.04864864864864865
12018842,1,1,9,185,0.04864864864864865
12018842,1,1,9,185,0.04864864864864865
12018842,1,1,9,185,0.04864864864864865
12018842,1,1,9,185,0.04864864864864865
12018844,1,1,3,106,0.02830188679245283
12018844,1,1,3,106,0.02830188679245283
12018844,1,1,3,106,0.02830188679245283
12018847,1,1,4,128,0.03125
12018847,1,1,4,128,0.03125
12018847,1,1,4,128,0.03125
12018847,1,1,4,128,0.03125
12018849,1,1,13,107,0.12149532710280374
12018849,1,1,13,107,0.12149532710280374
12018849,1,1,13,107,0.12149532710280374
12018849,1,1,13,107,0.12149532710280374
12018849,1,1,13,107,0.12149532710280374
12018849,1,1,13,107,0.12149532710280374
12018849,1,1,13,107,0.12149532710280374
